area needed	search term
Adjala-Tosorontio	Adjala-Tosorontio
Ajax	Ajax
Annex/ Yonge-St. Clair (C02)	Toronto C02
Aurora	Aurora
Bathurst Manor (C06)	Toronto C06
Beaches/ Danforth southeast (E02)	Toronto E02
Bendale (E09)	Toronto E09
Birchcliffe-Cliffside/ Oakridge (E06)	Toronto E06
Bloor West (W02)	Toronto W02
Bradford West Gwillimbury	Bradford West Gwillimbury
East York (E03)	Toronto E03
Brampton	Brampton
Brock	Brock
Burlington	Burlington
Caledon	Caledon
Clarington	Clarington
Dufferin County	Dufferin County
East Gwillimbury	East Gwillimbury
Essa	Essa
Etobicoke south (W08)	Toronto W08
Etobicoke lakeshore (W06)	Toronto W06
Etobicoke centre (W09)	Toronto W09
Etobicoke north (W10)	Toronto W10
Georgina	Georgina
Halton Hills	Halton Hills
High Park-Swansea (W01)	Toronto W01
Innisfil	Innisfil
Lawrence west (C04)	Toronto C04
Leaside (C11)	Toronto C11
King	King
Markham	Markham
Malvern/ Rouge (E11)	Toronto E11
Milliken (E07)	Toronto E07
Milton	Milton
Mississauga	Mississauga
Mount Pleasant (C10)	Toronto C10
New Tecumseth	New Tecumseth
Newmarket	Newmarket
North York Core west (C07)	Toronto C07
North York Core east (C14)	Toronto C14
North York northeast (C15)	Toronto C15
North York northwest (W05)	Toronto W05
North York southwest (W04)	Toronto W04
Oakville	Oakville
Orangeville	Orangeville
Oshawa	Oshawa
Parkwoods Donalda (C13)	Toronto C13
Pickering	Pickering
Richmond Hill	Richmond Hill
Riverdale/ Danforth southwest (E01)	Toronto E01
Rosedale/ Moore Park (C09)	Toronto C09
Scarborough lakeshore east (E10)	Toronto E10
Scarborough lakeshore west (E08)	Toronto E08
Scarborough northwest (E05)	Toronto E05
Scarborough southwest (E04)	Toronto E04
Scugog	Scugog
Simcoe County	Simcoe County
St. Andrews-Windfields (C12)	Toronto C12
Stonegate-Queensway (W07)	Toronto W07
Toronto Core east (C08)	Toronto C08
Toronto Core west (C01)	Toronto C01
Uxbridge	Uxbridge
Vaughan	Vaughan
West Midtown (C03)	Toronto C03
Whitby	Whitby
Whitchurch-Stouffville	Whitchurch-Stouffville
York Centre (W03)	Toronto W03
York Region --	York Region>